epoch,loss
1,4.549347697771513
2,4.324368965931428
3,4.236441109730647
4,4.179040619043204
5,4.138595979641646
6,4.109582792184292
7,4.0829953505442695
8,4.064351353278527
9,4.054595996172
10,4.037791947218088
11,4.027852867811154
12,4.019556917288365
13,4.0126544542801685
14,4.0053382084919855
15,4.0005951954768255
16,3.9926743727463943
17,3.9836048181240375
18,3.9765086008952215
19,3.9740369472748194
20,3.971568210919698
21,3.9658550629248985
22,3.9649013354228093
23,3.959106441033192
24,3.954713361079876
25,3.952716116416149
26,3.950527318318685
27,3.9475843851382915
28,3.942558895013271
29,3.941521948423141
30,3.9376215684108247
31,3.9349269799697093
32,3.932193477337177
33,3.9318842111489714
34,3.929986159618084
35,3.924829745903993
36,3.9233237394919764
37,3.922703719750429
38,3.9190459165817653
39,3.919461001493992
40,3.9179206028962748
41,3.9099479296268562
42,3.9109286779012438
43,3.910675317201859
44,3.9095442068882478
45,3.904783336321513
46,3.9042612350904022
47,3.902977684827951
48,3.902662515640259
49,3.9010113233175034
50,3.8999566389964175
51,3.8969203991767687
52,3.896479929410494
53,3.8927789144026925
54,3.894143341137813
55,3.892189252682221
56,3.89256854118445
57,3.8874843456806283
58,3.8884007716790223
59,3.8862082163492837
60,3.8866973779140372
61,3.8835459544108466
62,3.881696447959313
63,3.8832498978345824
64,3.881537887988946
65,3.881530852195544
66,3.8806296446384527
67,3.879003419020237
68,3.877433204650879
69,3.8744038013311535
70,3.8767050822575886
71,3.878488525366172
72,3.8735720542760994
73,3.87364440881289
74,3.872638099010174
75,3.871190603574117
76,3.8687160608096
77,3.869892959105663
78,3.8689419887004752
79,3.8674070761753963
80,3.8668569986636823
81,3.866337210092789
82,3.8611986288657554
83,3.8643887030772675
84,3.864087835336343
85,3.8610926677019166
86,3.8611136998885716
87,3.860495193188007
88,3.859720250276419
89,3.859594831099877
90,3.859700866234608
91,3.8565753881747904
92,3.8565818664355156
93,3.853302964186057
94,3.8564424563676885
95,3.853768454453884
96,3.853747635621291
97,3.8539894917072393
98,3.8530460302646343
99,3.8506600013146035
100,3.8502381917757864
101,3.8510741863495266
102,3.8505585303673375
103,3.848961678529397
104,3.84856525017665
105,3.8495451279175588
106,3.8483527990487905
107,3.8447757072937794
108,3.8468504098745493
109,3.8443297850779996
110,3.844125690215673
111,3.844441945124895
112,3.8425663067744327
113,3.842789994753324
114,3.8406825854228095
115,3.8421750692220833
116,3.8403106163709593
117,3.839627157113491
118,3.8394644376559137
119,3.837743600209554
120,3.839536056151757
121,3.8394713829725218
122,3.836999404736054
123,3.8378970531316905
124,3.8388714044522017
125,3.836090084222647
126,3.8359674539321507
127,3.8359021571966316
128,3.833883612583845
129,3.8354477998537897
130,3.8332825636252377
131,3.8342795341442795
132,3.833226645298493
133,3.8323587601001448
134,3.829036733431694
135,3.831611531208723
136,3.8303278116079476
137,3.830751422124031
138,3.828642442287543
139,3.8305074526713443
140,3.8293075188612327
141,3.8278066121614898
142,3.8272170775975938
143,3.8261915787672387
144,3.827035401417659
145,3.8244281622079703
146,3.8274613343752346
147,3.826030052625216
148,3.826501606672238
149,3.8248499100024884
150,3.8226544863138443
151,3.8240548512874506
152,3.8250076000507063
153,3.824851153447078
154,3.821934849787981
155,3.8198528815538455
156,3.8192897497079312
157,3.820184310888633
158,3.819900317069812
159,3.819298799221332
160,3.8211684618240747
161,3.8190793226926756
162,3.8197279520523852
163,3.8186561951270472
164,3.818593324147738
165,3.8167721558839847
166,3.8190189893429096
167,3.8168620433562843
168,3.816773798526862
169,3.817577061897669
170,3.8160575090310513
171,3.8167912104190926
172,3.815256223311791
173,3.8148834185722547
174,3.8146532028149336
175,3.8165361361625867
176,3.813988288243612
177,3.8133457611768673
178,3.812169354389875
179,3.813007954450754
180,3.8129713144057837
181,3.8114701857933633
182,3.8122064138070133
183,3.8122768285946966
184,3.8103649255556937
185,3.810704267330659
186,3.809621722270281
187,3.811403209123856
188,3.8115777217424833
189,3.8078914348895734
190,3.8082856765160193
191,3.8095298883242483
192,3.8094080276978324
193,3.809766020530309
194,3.809762538396395
195,3.80711520023835
196,3.807495544506953
197,3.8063706703675098
198,3.80871321788201
199,3.806983949587895
200,3.80612311730018
